PDB_ID,Canonical SMILES
1aaq,COC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC[C@@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)C)Cc1ccccc1)O
1abf,O[C@H]1[C@@H](C)O[C@@H]([C@@H]([C@H]1O)O)O
1abt,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])Cc1ccc(cc1)O)Cc1ccc(cc1)O)C(C)C)Cc1c[nH]c2c1cccc2)Cc1cnc[nH]1)[NH3+]
1acj,Nc1c2CCCCc2[nH+]c2c1cccc2
1ad8,C[NH2+][C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(C(F)(F)F)(F)F)Cc1c[nH]c2c1cccc2)Cc1ccccc1
1add,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nccc2N
1adl,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
1ado,OCC(=O)COP(=O)([O-])[O-]
1af2,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O
1af6,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
1afk,O[C@@H]1[C@H](OP(=O)([O-])[O-])[C@H](O[C@H]1n1cnc2c1ncnc2N)CO[P@](=O)(OP(=O)([O-])[O-])[O-]
1afl,O[C@@H]1[C@@H](CO[P@](=O)(OP(=O)([O-])[O-])[O-])O[C@H]([C@@H]1OP(=O)([O-])[O-])n1cnc2c1ncnc2N
1ag9,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1agm,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)O)[NH2+][C@H]1C=C(CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
1agw,O=CN1CCN(CC1)c1ccc(cc1)CC1=c2ccccc2=NC1=O
1aht,[O-]C(=O)[C@H](Cc1ccc(cc1)C(=[NH2+])N)O
1ahx,[O-]C(=O)CCc1ccccc1
1ahy,[O-]C(=O)/C=C\C(=O)[O-]
1ai4,[O-]C(=O)Cc1ccc(c(c1)O)O
1ai5,[O-]C(=O)Cc1cccc(c1)[N+](=O)[O-]
1ai6,[O-]C(=O)Cc1ccc(cc1)O
1ai7,Oc1ccccc1
1aid,Fc1ccc(cc1)C1(CCC[N@@H+]2CC[C@@](CC2)(O)c2ccc(cc2)Cl)SCCS1
1aj6,CO[C@@H]1[C@@H](OC(=O)N)[C@@H](O)[C@@H](OC1(C)C)Oc1ccc2c(c1C)O[C@@H](C(=C2O)NC(=O)c1ccc(c(c1)CC=C(C)C)O)[O-]
1aj7,[O-]C(=O)CCCC[P@](=O)(Oc1ccc(cc1)[N+](=O)[O-])[O-]
1ajn,[O-]C(=O)Cc1ccc(cc1)[N+](=O)[O-]
1ajp,[O-]C(=O)Cc1cc(O)ccc1O
1ajq,[O-]C(=O)Cc1cccs1
1ajv,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(S(=O)(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
1ajx,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(C(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
1akq,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1akr,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1akt,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1aku,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1akv,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1akw,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1al7,CCCCCC(Sc1[nH]nnc1C(=O)[O-])CCCCC
1al8,CCCCCCCCCCC1=C(O)C(=O)NC1=O
1alw,S[C@H](C(=O)[O-])Cc1ccc(cc1)I
1amk,[O-]C(=O)COP(=O)([O-])[O-]
1amn,FC(C(c1cccc(c1)[N+](C)(C)C)(O)O)(F)F
1amw,O[C@@H]1[C@@H](CO[P@@](=O)(OP(=O)([O-])[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1anf,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
1ao0,O[C@@H]1[C@@H](CO[P@@](=O)(OP(=O)([O-])[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1ao8,[O-]C(=O)CC[C@@H](C(=O)[O-])NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
1apb,O[C@H]1[C@@H](C)O[C@@H]([C@@H]([C@H]1O)O)O
1apv,CNC(=O)C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)(O)O)(F)F
1apw,CNC(=O)C([C@@H]([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)O)(F)F
1aq1,C[NH2+][C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
1aq7,CC[C@H]([C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCNC(=[NH2+])N)OS(=O)(=O)O)NC(=O)[C@@H](Cc1ccc(cc1)O)O)C
1aqc,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])Cc1ccccc1)Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C[NH3+])Cc1ccc(cc1)O)CCC(=O)[O-])CC(=O)N)Cc1ccc(cc1)O
1aqi,[O-]C(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
1aqj,[O-]C(=O)[C@H](CC[C@@H](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+])[NH3+]
1at5,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)NC(=O)C)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1NC(=O)C)O)O)O)NC(=O)C
1at6,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)NC(=O)C)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1NC(=O)C)O)O)O)NC(=O)C
1atl,SC[C@H](C(=O)N[C@H](C(=O)[O-])Cc1ccc(cc1)OC)CC(C)C
1atr,O[C@@H]1[C@@H](CO[P@@](=O)(OP(=O)([O-])[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1au0,CC(C[C@@H](C(=O)NCC(=O)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)NC(=O)OCc1ccccc1)C
1au2,CC(C[C@@H](C(=O)NCC(=O)CNS(=O)(=O)c1ccc(cc1)Oc1ccccc1)NC(=O)c1ccncc1)C
1auj,N#Cc1cccc(c1)C[C@@H](B(O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+]
1avd,[O-]C(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1avn,C(c1c[nH+]c[nH]1)C[NH3+]
1avp,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])Cc1ccccc1)CS)CCCNC(=[NH2+])N)CCCNC(=[NH2+])N)CCCNC(=[NH2+])N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)C[NH3+])CCC(=O)N)CO)CC(C)C
1aw1,[O-]C(=O)COP(=O)([O-])[O-]
1awf,OC[C@@H]1O[C@H](OC(=O)[C@]2(C)[C@@H](CC[C@]3([C@H]2CC=C2[C@@H]3C[C@@H]([C@@]3([C@]2(CO)C[C@@H]([C@H]3[C@H](C(=O)[O-])CC(=O)C=C(C)C)O)C)O)C)OC(=O)C)[C@H]([C@@H]([C@H]1O)O)O
1awh,CC(=O)O[C@@H]1CC[C@]2([C@H]([C@]1(C)C(=O)[O-])CC=C1[C@@H]2CC[C@@]2([C@]1(C)C[C@@H]([C@H]2[C@H](C(=O)[O-])CC(=O)C=C(C)C)O)C)C
1awi,[O-]C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC[NH2+]1
1ax0,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
1ax1,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O
1ax2,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)NC(=O)C
1axr,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnc2)O
1axs,[O-]C(=O)CCCNC(=O)c1ccc(cc1)[C@H]1CC[C@@H](C[C@@H]1O)c1ccccc1
1axz,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)O
1ayu,CC(C[C@@H](C(=O)NNC(=O)NNC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)NC(=O)OCc1ccccc1)C
1ayv,CC(C[C@@H](C(=O)NNC(=O)c1csc(n1)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)NC(=O)OCc1ccccc1)C
1aze,CC([C@@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCNC(=[NH2+])N)CCCNC(=[NH2+])N)CCCNC(=[NH2+])N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](C(C)C)[NH3+])C
1azg,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])[C@H](O)C)CCCC[NH3+])CO)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC[NH2+]1)CCCNC(=[NH2+])N)CC(C)C)C
1azl,O=c1[nH]c(=O)c2-c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)c1c(n2)cc(c(c1)C)C
1azm,CC(=O)Nc1nnc(s1)S(=O)(=O)N
1azx,CO[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@@H](COS(=O)(=O)O)O[C@@H]([C@@H]([C@H]2OS(=O)(=O)O)OS(=O)(=O)O)O[C@@H]2[C@@H](O[C@H]([C@@H]([C@H]2OC)OS(=O)(=O)O)O[C@@H]2[C@@H](COS(=O)(=O)O)O[C@@H]([C@@H]([C@H]2OS(=O)(=O)O)OS(=O)(=O)O)OC)C(=O)[O-])O[C@@H]([C@H]1O[C@H]1O[C@H](COS(=O)(=O)O)[C@H]([C@@H]([C@H]1OS(=O)(=O)O)OC)OC)C(=O)[O-]
1b05,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CS)[NH3+]
1b0f,CC([C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(C(F)(F)F)(F)F)C(C)C)NC(=O)c1ccc(cc1)C(=O)N1CCOCC1)C
1b0h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])Cc1cccc2c1cccc2)[NH3+]
1b11,OC[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)Cc1ccccc1
1b1h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCc1ccccc1)[NH3+]
1b2h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCC[NH3+])[NH3+]
1b2i,[NH3+]C[C@@H]1CC[C@H](CC1)C(=O)[O-]
1b2m,OC[C@H]1O[C@H]([C@@H]([C@@H]1O[P@@](=O)(CC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O)[O-])O)n1cnc2c1[nH+]c(N)[nH]c2=O
1b32,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCSC)[NH3+]
1b38,O[C@@H]1[C@@H](CO[P@@](=O)(O[P@@](=O)(OP(=O)([O-])[O-])[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1b39,O[C@@H]1[C@@H](CO[P@@](=O)(O[P@@](=O)(OP(=O)([O-])[O-])[O-])[O-])O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1b3f,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])Cc1[nH]cnc1)[NH3+]
1b3g,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])[C@H](CC)C)[NH3+]
1b3h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CC1CCCCC1)[NH3+]
1b3l,[NH3+]CCCC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)[O-])CCCC[NH3+])[NH3+]
1b40,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])Cc1ccccc1)[NH3+]
1b42,C[n+]1cnc2c(c1N)[nH+]c[nH]2
1b46,[NH3+]CCCC[C@@H](C(=O)[O-])NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH3+])[NH3+]
1b4d,OC[C@H]1O[C@](NC(=O)OC)(C(=O)N)[C@@H]([C@H]([C@@H]1O)O)O
1b4h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CC[NH3+])[NH3+]
1b4z,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CC(=O)[O-])[NH3+]
1b51,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CO)[NH3+]
1b52,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])[C@H](O)C)[NH3+]
1b55,O[C@@H]1[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H]([C@H]([C@@H]1OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
1b56,C=CCC/C=C/C/C=C/C/C=C/CCCC(=O)[O-]
1b57,ONC(=O)COP(=O)([O-])[O-]
1b58,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])Cc1ccc(cc1)O)[NH3+]
1b5g,NC(=[NH2+])NCCC[C@@H]([C@@H](c1nc2c(s1)cccc2)O)NC(=O)[C@@H]1CC[C@H]2N1C(=O)[C@@](CC2)([NH3+])Cc1ccccc1
1b5h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])C[NH3+])[NH3+]
1b5i,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CC(=O)N)[NH3+]
1b5j,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCC(=O)N)[NH3+]
1b6h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCC)[NH3+]
1b6j,O=C[C@H](CC(=O)N)NC(=O)CCCOc1ccc(cc1)C[C@@H]([C@H](C[N@@H+]1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N)C(C)C)[C@H](CC)C)O)N
1b6k,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C
1b6l,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2
1b6m,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)Cc2ccc(OCCCNC1=O)cc2)C
1b6p,CCC(=O)N[C@H](C(=O)N[C@H]([C@@H](C[NH2+][C@H]1Cc2ccc(cc2)OCCCNC(=O)[C@@H](NC1=O)[C@H](CC)C)O)Cc1ccc(cc1)O)C(C)C
1b74,NC(=O)CC[C@H](C(=O)[O-])[NH3+]
1b7h,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CCCC)[NH3+]
1b8n,OC[C@H]1N[C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc(N)[nH]c2=O
1b8o,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
1b8y,[O-]C(=O)CNS(=O)(=O)c1ccc(cc1)N1CCC(CC1)c1ccccc1
1b9j,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)[O-])CCCC[NH3+])CC(C)C)[NH3+]
1b9s,CCC(C(=O)Nc1cc(ccc1NC(=O)C)C(=O)O)CC
1b9t,OCC1(CO)CCC(=O)N1c1ccc(cc1NC(=[NH2+])N)C(=O)[O-]
1b9v,CCC(Nc1cc(ccc1N1C(=O)CCC1(CO)CO)C(=O)[O-])CC
1ba8,OC[C@@H](NC(=O)CN1CCC[C@@H](C1=O)NS(=O)(=O)Cc1ccccc1)CCCNC(=[NH2+])N
1bai,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)/N=C/[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+])CC(C)C)CCC(=O)[O-])C
1bap,O[C@H]1CO[C@H]([C@@H]([C@H]1O)O)O
